ID,Section,Element / Selector,Field Type,Current Content (abbreviated),Content Source,Notes
,,,,,"P = Programmatic | AI = AI-Generated w/ human review | H = Human-written",
,═══ HEAD META TAGS ═══,,,,,
1,Head,<title>,Meta Title,"Free Resume Templates 2026 — Download DOCX Instantly, No Account Required | Toptal",AI,"SEO-critical. AI drafts from keyword research, SEO team approves final phrasing. Update year annually."
2,Head,<meta name=""description"">,Meta Description,"100+ free ATS-friendly resume templates. Download in Word, PDF, or Google Docs — no account needed…",AI,"155 chars max. AI drafts from target keywords, SEO team approves. Must include primary + secondary KW."
3,Head,<meta property=""og:title"">,OG Title,Same as meta title,P,"Mirror <title> tag — auto-synced programmatically."
4,Head,<meta property=""og:description"">,OG Description,Same as meta description,P,"Mirror meta description — auto-synced programmatically."
5,Head,<meta property=""og:url"">,OG URL,https://toptal.com/resume-templates,P,"Canonical URL — set from CMS routing."
6,Head,JSON-LD BreadcrumbList,Schema,Home > Resume Templates,P,"Auto-generated from site hierarchy / CMS breadcrumb config."
7,Head,JSON-LD FAQPage,Schema,"6 Q&A pairs matching the FAQ section",AI,"AI generates from FAQ content. Must match visible FAQ 1:1. Update when FAQ section changes."
,,,,,,
,═══ HEADER / NAVIGATION ═══,,,,,
8,Header,.header-logo,Brand,Toptal.,H,"Core brand. Never changes without brand team."
9,Header,.logo-product,Brand Suffix,Resume,H,"Product name — brand decision."
10,Header,.header-nav a × 5,Nav Links,"Resume Templates, Resume Builder, Cover Letters, Resume Examples, Career Advice",H,"IA decision. Must match actual product pages. Changes require UX + SEO coordination."
11,Header,.btn-login,CTA Label,Log In,H,"UX copy — set by product/design."
12,Header,.btn.btn-primary (header),CTA Label,Build My Resume,H,"Primary conversion CTA. A/B test copy. Requires product + CRO team sign-off."
,,,,,,
,═══ HERO SECTION ═══,,,,,
13,Hero,.breadcrumb,Breadcrumb,Home / Resume Templates,P,"Auto-generated from URL path / CMS."
14,Hero,.hero-badge,Badge Label,Updated for 2026,P,"Year auto-updated annually from system date."
15,Hero,h1,H1 Heading,"100+ Free Resume Templates — ATS-Friendly, Instant DOCX Download",AI,"Most important on-page SEO element. AI drafts from keyword data, SEO lead approves. Max ~65 chars."
16,Hero,.hero-subtitle,Hero Description,"Choose from 100+ free resume templates — ATS-friendly, recruiter-approved, and available as instant DOCX downloads. Each resume format is tested across Workday, Greenhouse, and iCIMS…",AI,"First 150 words on page = highest SEO weight. AI drafts keyword-rich copy, SEO team edits for readability + keyword density."
17,Hero,.hero-data-line,Trust Signal,"Built with data from 100,000+ resumes reviewed by Toptal's hiring network · Also works as a CV template",AI,"Social proof + keyword injection. AI drafts, marketing approves the data claim."
18,Hero,.btn.btn-primary.btn-lg,Primary CTA,Build My Resume,H,"Conversion button — A/B test. Product + CRO team owns."
19,Hero,.btn.btn-white.btn-lg,Secondary CTA,Import Existing Resume,H,"Conversion button — A/B test. Product + CRO team owns."
,,,,,,
,═══ FILTER BAR ═══,,,,,
20,Filters,.filter-btn.active,Filter Label,All Templates,P,"Static UI label."
21,Filters,.count,Template Count,108,P,"Dynamic — pulled from template database count."
